Rank,Player,Years,PTS,GP,G,A,+/-,PS,PIM,SH,GWG,Player URL
150,Ted Lindsay,1944-65,851,1068,379,472,9,100.2,1808,209,58,https://www.hockey-reference.com/players/l/lindste01.html
151,Gary Suter,1985-02,844,1145,203,641,126,121.6,1349,3091,18,https://www.hockey-reference.com/players/s/suterga01.html
152,Tom Lysiak,1973-86,843,919,292,551,-11,61.5,567,2210,41,https://www.hockey-reference.com/players/l/lysiato01.html
153,John MacLean,1983-02,842,1194,413,429,43,74.3,1328,3324,63,https://www.hockey-reference.com/players/m/maclejo01.html
154,Ryan Smyth,1994-14,842,1270,386,456,-54,88.0,976,3433,56,https://www.hockey-reference.com/players/s/smythry01.html
155,Scott Mellanby,1985-07,840,1431,364,476,-37,71.4,2479,2960,56,https://www.hockey-reference.com/players/m/mellasc01.html
156,Jeff Carter,2005-24,838,1269,432,406,15,100.4,629,3897,89,https://www.hockey-reference.com/players/c/carteje01.html
157,John Tonelli,1978-92,836,1028,325,511,221,58.8,911,1854,47,https://www.hockey-reference.com/players/t/toneljo01.html
158,Jacques Lemaire,1967-79,835,853,366,469,344,86.6,217,3052,58,https://www.hockey-reference.com/players/l/lemaija01.html
159,Saku Koivu,1995-14,832,1124,255,577,10,79.6,809,2024,46,https://www.hockey-reference.com/players/k/koivusa01.html
160,Brent Sutter,1980-98,829,1111,363,466,166,64.7,1054,2396,47,https://www.hockey-reference.com/players/s/suttebr02.html
161,John Ogrodnick,1979-93,827,928,402,425,-63,64.3,260,2815,45,https://www.hockey-reference.com/players/o/ogrodjo01.html
162,Doug Wilson,1977-93,827,1024,237,590,55,110.5,830,3297,22,https://www.hockey-reference.com/players/w/wilsodo01.html
163,Red Kelly,1947-67,823,1316,281,542,50,146.3,327,1387,41,https://www.hockey-reference.com/players/k/kellyre01.html
164,Bernie Geoffrion,1950-68,822,883,393,429,39,97.5,683,1404,75,https://www.hockey-reference.com/players/g/geoffbe01.html
165,Pierre Larouche,1974-88,822,812,395,427,-29,68.3,237,2298,36,https://www.hockey-reference.com/players/l/laroupi01.html
166,Paul Stastny,2006-23,822,1145,293,529,54,84.7,500,2326,55,https://www.hockey-reference.com/players/s/stastpa01.html
167,John LeClair,1990-07,819,967,406,413,204,98.7,501,2611,65,https://www.hockey-reference.com/players/l/leclajo01.html
168,Stéphane Richer,1984-02,819,1054,421,398,76,77.6,614,2849,72,https://www.hockey-reference.com/players/r/richest02.html
169,Steve Shutt,1972-85,817,930,424,393,394,79.6,410,2403,50,https://www.hockey-reference.com/players/s/shuttst01.html
170,Thomas Steen,1981-95,817,950,264,553,-69,53.5,753,2036,29,https://www.hockey-reference.com/players/s/steenth01.html
171,Marián Gáborík,2000-18,815,1035,407,408,95,108.1,492,3207,71,https://www.hockey-reference.com/players/g/gaborma01.html
172,Wilf Paiement,1974-88,814,946,356,458,-142,59.5,1759,2719,29,https://www.hockey-reference.com/players/p/paiemwi01.html
173,Peter McNab,1973-87,813,955,363,450,128,65.3,179,1959,47,https://www.hockey-reference.com/players/m/mcnabpe01.html
174,Sergei Gonchar,1994-15,811,1301,220,591,33,141.9,981,2866,35,https://www.hockey-reference.com/players/g/gonchse01.html
175,Pit Martin,1961-79,809,1101,324,485,104,69.9,609,2205,40,https://www.hockey-reference.com/players/m/martipi01.html
176,Ken Linseman,1978-92,807,860,256,551,221,58.2,1725,1635,29,https://www.hockey-reference.com/players/l/linseke01.html
177,Jakub Voráček,2008-23,806,1058,223,583,-36,76.4,525,2517,31,https://www.hockey-reference.com/players/v/voracja01.html
178,Milan Hejduk,1998-13,805,1020,375,430,101,95.0,316,2667,59,https://www.hockey-reference.com/players/h/hejdumi01.html
179,Rick Nash,2002-18,805,1060,437,368,-11,102.6,750,3624,73,https://www.hockey-reference.com/players/n/nashri01.html
180,Garry Unger,1967-83,804,1105,413,391,-131,67.8,1075,3429,54,https://www.hockey-reference.com/players/u/ungerga01.html
181,Ken Hodge,1964-78,800,880,328,472,260,75.8,777,2128,57,https://www.hockey-reference.com/players/h/hodgeke01.html
182,Geoff Courtnall,1983-00,799,1048,367,432,118,70.6,1463,3087,55,https://www.hockey-reference.com/players/c/courtge01.html
183,Justin Williams,2000-20,797,1264,320,477,110,89.0,766,3308,44,https://www.hockey-reference.com/players/w/williju01.html
184,Nathan MacKinnon,2013-24,796,736,295,501,119,91.2,328,2892,56,https://www.hockey-reference.com/players/m/mackina01.html
185,Eddie Olczyk,1984-00,794,1031,342,452,-65,60.5,874,2576,36,https://www.hockey-reference.com/players/o/olczyed01.html
186,Wayne Cashman,1964-83,793,1027,277,516,278,62.0,1039,1747,37,https://www.hockey-reference.com/players/c/cashmwa01.html
187,Mike Ribeiro,1999-17,793,1074,228,565,5,79.0,577,1581,32,https://www.hockey-reference.com/players/r/ribeimi01.html
188,Dany Heatley,2001-15,791,869,372,419,38,95.2,620,2565,64,https://www.hockey-reference.com/players/h/heatlda01.html
189,Thomas Vanek,2005-19,789,1029,373,416,5,95.9,547,2609,56,https://www.hockey-reference.com/players/v/vanekth01.html
190,Rick Vaive,1979-92,788,876,441,347,-79,65.4,1445,2603,52,https://www.hockey-reference.com/players/v/vaiveri01.html
191,Börje Salming,1973-90,787,1148,150,637,170,112.8,1344,2539,13,https://www.hockey-reference.com/players/s/salmibo01.html
192,David Krejčí,2006-23,786,1032,231,555,166,84.0,359,1848,43,https://www.hockey-reference.com/players/k/krejcda01.html
193,Claude Lemieux,1983-09,786,1215,379,407,14,67.0,1777,3650,58,https://www.hockey-reference.com/players/l/lemiecl01.html
194,Alexei Yashin,1993-07,781,850,337,444,-83,84.2,401,2828,49,https://www.hockey-reference.com/players/y/yashial01.html
195,Erik Karlsson,2009-24,780,946,184,596,-91,117.6,438,2632,34,https://www.hockey-reference.com/players/k/karlser01.html
196,Pavel Bure,1991-03,779,702,437,342,42,93.1,484,3130,59,https://www.hockey-reference.com/players/b/burepa01.html
197,Rob Blake,1989-10,777,1270,240,537,-4,127.5,1679,3896,41,https://www.hockey-reference.com/players/b/blakero01.html
198,Leon Draisaitl,2014-24,776,663,317,459,25,89.0,254,1763,55,https://www.hockey-reference.com/players/d/draisle01.html
199,Nikita Kucherov,2013-24,776,672,295,481,126,93.1,327,2047,46,https://www.hockey-reference.com/players/k/kucheni01.html
200,Jean Pronovost,1968-82,774,998,391,383,49,70.1,413,2784,57,https://www.hockey-reference.com/players/p/pronoje01.html
201,Dave Christian,1979-94,773,1009,340,433,-64,54.4,284,2167,35,https://www.hockey-reference.com/players/c/chrisda01.html
202,Pete Mahovlich,1965-81,773,883,288,485,234,68.9,916,2089,38,https://www.hockey-reference.com/players/m/mahovpe01.html
203,Sergei Zubov,1992-09,771,1068,152,619,148,136.8,337,2266,22,https://www.hockey-reference.com/players/z/zubovse01.html
204,Todd Bertuzzi,1995-14,770,1159,314,456,-44,77.4,1478,2411,41,https://www.hockey-reference.com/players/b/bertuto01.html
205,Pavol Demitra,1993-10,768,847,304,464,124,90.0,284,2160,59,https://www.hockey-reference.com/players/d/demitpa01.html
206,Rick Kehoe,1971-85,767,906,371,396,-76,61.7,120,2631,34,https://www.hockey-reference.com/players/k/kehoeri01.html
207,Vinny Prospal,1996-13,765,1108,255,510,-57,74.5,581,2417,34,https://www.hockey-reference.com/players/p/prospva01.html
208,Matt Duchene,2009-24,764,1001,322,442,-88,79.9,272,2454,45,https://www.hockey-reference.com/players/d/duchema01.html
209,Brian Rolston,1994-12,761,1256,342,419,65,80.4,472,3836,72,https://www.hockey-reference.com/players/r/rolstbr01.html
210,Kevin Dineen,1984-03,760,1188,355,405,-24,61.1,2229,2769,56,https://www.hockey-reference.com/players/d/dineeke01.html
211,Murray Craven,1982-00,759,1071,266,493,125,55.8,524,1909,42,https://www.hockey-reference.com/players/c/cravemu01.html
212,Rick MacLeish,1970-84,759,846,349,410,154,66.5,434,2605,51,https://www.hockey-reference.com/players/m/macleri01.html
213,Mike Ridley,1985-97,758,866,292,466,36,60.6,424,1513,46,https://www.hockey-reference.com/players/r/ridlemi01.html
214,Scott Young,1987-06,757,1181,342,415,-40,68.3,448,3501,50,https://www.hockey-reference.com/players/y/youngsc01.html
215,Scott Gomez,1999-16,756,1079,181,575,-1,69.2,655,2514,33,https://www.hockey-reference.com/players/g/gomezsc01.html
216,Tyler Seguin,2010-24,754,927,335,419,67,91.4,283,3068,58,https://www.hockey-reference.com/players/s/seguity01.html
217,Steve Duchesne,1986-02,752,1113,227,525,89,112.7,824,2542,30,https://www.hockey-reference.com/players/d/duchest01.html
218,Craig Janney,1987-99,751,760,188,563,-13,58.4,170,1057,32,https://www.hockey-reference.com/players/j/jannecr01.html
